origin               destination        
Admiralty            Admiralty                344.5
                     Coral Edge              2441.0
                     Telok Blangah           2484.0
                     Chinatown DTL           2496.5
                     Phoenix                 2577.0
                     Keat Hong               2617.0
                     Bukit Gombak            2667.5
                     Tampines NSEW           2744.5
                     Bukit Batok             2754.5
                     South View              2767.0
                     Jurong East             2829.0
                     Pasir Ris               2905.0
                     Expo NSEW               2914.0
                     Changi Airport          2972.0
                     Teck Whye               2983.0
                     Meridian                3183.5
                     Lakeside                3225.0
                     Boon Lay                3412.0
                     Fajar                   3417.0
                     Joo Koon                3608.0
                     Pioneer                 3786.0
Bakau                Rumbia                   328.0
                     Ranggung                 408.0
                     Kangkar                  420.0
                     Compassvale              432.0
                     Sengkang                 642.5
                     Punggol                  975.0
                     Hougang                 1195.0
                     Fernvale                1277.0
                     Serangoon NEL           1296.0
                     Woodleigh               1378.0
                     Farmway                 1378.0
                     Kovan                   1379.0
                     Serangoon CCL           1589.0
                     Potong Pasir            1619.0
                     Tai Seng                1752.0
                     Farrer Park             1782.0
                     Boon Keng               1819.5
                     Marymount               1822.0
                     Little India NEL        1999.5
                     Dhoby Ghaut NEL         2092.0
                     Paya Lebar CCL          2093.0
                     Clarke Quay             2221.0
                     Outram Park NEL         2309.0
                     Novena                  2317.5
                     Bras Basah              2329.5
                     Bugis DTL               2331.0
                     City Hall               2362.5
                     Promenade               2435.0
                     Newton DTL              2435.5
                     Raffles Place           2455.0
                     Rochor                  2457.0
                     Telok Ayer              2473.0
                     Dhoby Ghaut NSEW        2474.0
                     Esplanade               2487.0
                     Orchard                 2500.5
                     Chinatown NEL           2534.5
                     Outram Park NSEW        2548.0
                     Somerset                2565.0
                     Holland Village         2620.0
                     Bedok                   2624.0
                     Eunos                   2625.0
                     Stadium                 2638.0
                     Downtown                2703.0
                     Bugis NSEW              2711.0
                     Aljunied                2730.0
                     HarbourFront NEL        2733.0
                     Buona Vista CCL         2753.0
                     Nicoll Highway          2811.0
                     HarbourFront CCL        2956.5
                     one-north               2994.0
                     Tanjong Pagar           3068.0
                     Mountbatten             3136.0
                     Botanic Gardens CCL     3297.0
                     Expo NSEW               3406.0
                     Telok Blangah           3417.5
                     Kent Ridge              3438.0
                     Haw Par Villa           3737.0
                     Jurong East             3768.0
                     Lakeside                3796.0
                     Clementi                3871.0
                     Pioneer                 4442.0
                     Boon Lay                4860.0
Bangkit              Pending                  331.0
                     Fajar                    362.0
                     Petir                    457.0
                     Segar                    472.5
                     Bukit Panjang BPLRT      527.5
                     Phoenix                  548.0
                     Jelapang                 639.0
                     Senja                    644.0
                     Teck Whye                711.0
                     South View               815.5
                     Keat Hong                873.0
                     Choa Chu Kang BPLRT      918.5
                     Choa Chu Kang            930.0
                     Yew Tee                 1472.0
                     Bukit Gombak            1528.0
                     Kranji                  1534.0
                     Jurong East             1855.0
                     Lakeside                2178.5
                     Woodlands               2201.0
                     Clementi                2250.0
                     Boon Lay                2293.5
                     Dover                   2463.0
                     one-north               2639.0
                     Pioneer                 2705.0
                     Khatib                  2810.0
                     Redhill                 2813.0
                     Queenstown              2903.5
                     Yio Chu Kang            3014.0
                     Ang Mo Kio              3126.0
                     Joo Koon                3222.0
                     Commonwealth            3249.0
                     Tanjong Pagar           3422.0
Bartley              Tai Seng                 294.0
                     Serangoon CCL            310.0
                     Potong Pasir             425.5
                     MacPherson CCL           426.0
                     Paya Lebar CCL           470.0
                     Lorong Chuan             485.0
                     Bartley                  573.0
                     Bishan CCL               638.0
                     Paya Lebar NSEW          658.0
                     Kovan                    688.0
                     Marymount                772.0
                     Mountbatten              913.0
                     Toa Payoh                917.0
                     Stadium                  931.0
                     Aljunied                1011.0
                     Kallang                 1049.0
                     Nicoll Highway          1065.0
                     Sengkang                1076.0
                     Promenade               1185.0
                     Novena                  1215.0
                     Lavender                1246.0
                     Botanic Gardens CCL     1262.5
                     Punggol                 1266.0
                     Bugis NSEW              1372.5
                     Newton NSEW             1388.0
                     Bayfront CCL            1422.5
                     Clarke Quay             1445.0
